date,exit,S,K,S_T,iv,prem,pnl,cap
2023-04-06,2023-04-13,17599.15,16719.19,17828.0,0.118,0.05,2.9,988305.38
2023-04-13,2023-04-20,17828.0,16936.6,17624.45,0.119,0.06,3.27,988308.65
2023-04-20,2023-04-27,17624.45,16743.23,17915.05,0.119,0.06,3.37,988312.02
2023-04-27,2023-05-04,17915.05,17019.3,18255.8,0.114,0.03,1.9,988313.92
2023-05-04,2023-05-11,18255.8,17343.01,18297.0,0.117,0.05,2.68,988316.6
2023-05-11,2023-05-18,18297.0,17382.15,18129.95,0.132,0.2,11.14,988327.74
2023-05-18,2023-05-25,18129.95,17223.45,18321.15,0.128,0.14,7.79,988335.53
2023-05-25,2023-06-01,18321.15,17405.09,18487.75,0.125,0.11,6.03,988341.55
2023-06-01,2023-06-08,18487.75,17563.36,18634.55,0.116,0.04,2.31,988343.87
2023-06-08,2023-06-15,18634.55,17702.82,18688.1,0.113,0.03,1.54,988345.41
2023-06-15,2023-06-22,18688.1,17753.69,18771.25,0.111,0.02,1.23,988346.64
2023-06-22,2023-06-30,18771.25,17832.69,19189.05,0.116,0.09,4.92,988351.56
2023-07-06,2023-07-13,19497.3,18522.44,19413.75,0.118,0.06,3.03,988354.58
2023-07-13,2023-07-20,19413.75,18443.06,19979.15,0.109,0.02,1.02,988355.6
2023-07-20,2023-07-27,19979.15,18980.19,19659.9,0.118,0.06,2.87,988358.47
2023-07-27,2023-08-03,19659.9,18676.91,19381.65,0.105,0.01,0.55,988359.02
2023-08-03,2023-08-10,19381.65,18412.57,19543.1,0.112,0.03,1.41,988360.44
2023-08-10,2023-08-17,19543.1,18565.94,19365.25,0.114,0.03,1.83,988362.27
2023-08-17,2023-08-24,19365.25,18396.99,19386.7,0.122,0.09,4.6,988366.86
2023-08-24,2023-08-31,19386.7,18417.36,19253.8,0.117,0.05,2.59,988369.45
2023-08-31,2023-09-07,19253.8,18291.11,19727.05,0.121,0.07,3.83,988373.28
2023-09-07,2023-09-14,19727.05,18740.7,20103.1,0.109,0.02,0.93,988374.21
2023-09-14,2023-09-21,20103.1,19097.94,19742.35,0.113,0.03,1.66,988375.87
2023-09-21,2023-09-28,19742.35,18755.23,19523.55,0.108,0.02,0.87,988376.73
2023-09-28,2023-10-05,19523.55,18547.37,19545.75,0.128,0.15,7.93,988384.66
2023-10-05,2023-10-12,19545.75,18568.46,19794.0,0.109,0.02,1.02,988385.68
2023-10-12,2023-10-19,19794.0,18804.3,19624.7,0.106,0.01,0.65,988386.33
2023-10-19,2023-10-26,19624.7,18643.46,18857.25,0.109,0.02,0.97,988387.29
2023-10-26,2023-11-02,18857.25,17914.39,19133.25,0.117,0.05,2.68,988389.98
2023-11-02,2023-11-09,19133.25,18176.59,19395.3,0.111,0.02,1.23,988391.2
2023-11-09,2023-11-16,19395.3,18425.54,19765.2,0.11,0.02,1.08,988392.28
2023-11-16,2023-11-23,19765.2,18776.94,19802.0,0.116,0.05,2.45,988394.73
2023-11-23,2023-11-30,19802.0,18811.9,20133.15,0.113,0.03,1.66,988396.39
2023-11-30,2023-12-07,20133.15,19126.49,20901.15,0.127,0.14,7.05,988403.44
2023-12-07,2023-12-14,20901.15,19856.09,21182.7,0.127,0.14,6.93,988410.37
2023-12-14,2023-12-21,21182.7,20123.56,21255.05,0.123,0.1,4.97,988415.34
2023-12-21,2023-12-28,21255.05,20192.3,21778.7,0.138,0.35,16.95,988432.29
2023-12-28,2024-01-04,21778.7,20689.76,21658.6,0.151,0.88,41.79,988474.08
2024-01-04,2024-01-11,21658.6,20575.67,21647.2,0.133,0.25,12.18,988486.26
2024-01-11,2024-01-18,21647.2,20564.84,21462.25,0.128,0.16,7.58,988493.85
2024-01-18,2024-01-25,21462.25,20389.14,21352.6,0.141,0.44,21.17,988515.01
2024-01-25,2024-02-01,21352.6,20284.97,21697.45,0.139,0.38,18.37,988533.38
2024-02-01,2024-02-08,21697.45,20612.58,21717.95,0.145,0.57,27.53,988560.91
2024-02-08,2024-02-15,21717.95,20632.05,21910.75,0.158,1.27,61.03,988621.94
2024-02-15,2024-02-22,21910.75,20815.21,22217.45,0.152,0.93,44.02,988665.96
2024-02-22,2024-02-29,22217.45,21106.58,21982.8,0.152,0.92,43.28,988709.24
2024-02-29,2024-03-07,21982.8,20883.66,22493.55,0.156,1.12,53.18,988762.42
2024-03-07,2024-03-14,22493.55,21368.87,22146.65,0.136,0.33,15.15,988777.58
2024-03-14,2024-03-21,22146.65,21039.32,22011.95,0.136,0.33,15.27,988792.84
2024-03-21,2024-03-28,22011.95,20911.35,22326.9,0.125,0.13,5.97,988798.82
2024-03-28,2024-04-04,22326.9,21210.56,22514.65,0.128,0.17,8.0,988806.82
2024-04-04,2024-04-12,22514.65,21388.92,22519.4,0.112,0.07,3.44,988810.25
2024-04-18,2024-04-25,21995.85,20896.06,22570.35,0.13,0.2,9.59,988819.85
2024-04-25,2024-05-02,22570.35,21441.83,22648.2,0.107,0.02,0.76,988820.61
2024-05-02,2024-05-09,22648.2,21515.79,21957.5,0.134,0.29,13.4,988834.01
2024-05-09,2024-05-16,21957.5,20859.62,22403.85,0.182,3.64,172.38,989006.39
2024-05-16,2024-05-23,22403.85,21283.66,22967.65,0.2,6.73,312.77,989319.15
2024-05-23,2024-05-30,22967.65,21819.27,22488.65,0.214,10.08,456.78,989775.93
2024-05-30,2024-06-06,22488.65,21364.22,22821.4,0.242,18.33,848.84,990624.77
2024-06-06,2024-06-13,22821.4,21680.33,23398.9,0.168,2.14,97.65,990722.42
2024-06-13,2024-06-20,23398.9,22228.96,23567.0,0.135,0.31,13.85,990736.27
2024-06-20,2024-06-27,23567.0,22388.65,24044.5,0.134,0.28,12.4,990748.67
2024-06-27,2024-07-04,24044.5,22842.27,24302.15,0.141,0.52,22.43,990771.1
2024-07-04,2024-07-11,24302.15,23087.04,24315.95,0.129,0.19,8.23,990779.33
2024-07-11,2024-07-18,24315.95,23100.15,24800.85,0.14,0.47,20.2,990799.53
2024-07-18,2024-07-25,24800.85,23560.81,24406.1,0.145,0.68,28.5,990828.03
2024-07-25,2024-08-01,24406.1,23185.79,25010.9,0.126,0.16,6.63,990834.66
2024-08-01,2024-08-08,25010.9,23760.36,24117.0,0.129,0.21,8.75,990843.41
2024-08-08,2024-08-16,24117.0,22911.15,24541.15,0.166,3.29,142.36,990985.78
2024-08-22,2024-08-29,24811.5,23570.92,25151.95,0.13,0.22,9.29,990995.07
2024-08-29,2024-09-05,25151.95,23894.35,25145.1,0.138,0.42,17.37,991012.44
2024-09-05,2024-09-12,25145.1,23887.84,25388.9,0.142,0.56,23.37,991035.81
2024-09-12,2024-09-19,25388.9,24119.46,25415.8,0.132,0.26,10.81,991046.62
2024-09-19,2024-09-26,25415.8,24145.01,26216.05,0.125,0.14,5.77,991052.39
2024-09-26,2024-10-03,26216.05,24905.25,25250.1,0.12,0.09,3.6,991055.99
2024-10-03,2024-10-10,25250.1,23987.59,24998.45,0.132,0.26,10.72,991066.71
2024-10-10,2024-10-17,24998.45,23748.53,24749.85,0.135,0.33,13.96,991080.67
2024-10-17,2024-10-24,24749.85,23512.36,24399.4,0.134,0.3,12.81,991093.48
2024-10-24,2024-10-31,24399.4,23179.43,24205.35,0.14,0.46,19.78,991113.26
2024-10-31,2024-11-07,24205.35,22995.08,24199.35,0.156,1.22,52.74,991166.0
2024-11-07,2024-11-14,24199.35,22989.38,23532.7,0.149,0.86,37.25,991203.25
2024-11-14,2024-11-21,23532.7,22356.06,23349.9,0.148,0.76,33.8,991237.05
2024-11-21,2024-11-28,23349.9,22182.41,23914.15,0.16,1.49,66.42,991303.47
2024-11-28,2024-12-05,23914.15,22718.44,24708.4,0.152,1.0,43.64,991347.11
2024-12-05,2024-12-12,24708.4,23472.98,24548.7,0.145,0.68,28.89,991376.0
2024-12-12,2024-12-19,24548.7,23321.26,23951.7,0.132,0.26,10.9,991386.9
2024-12-19,2024-12-26,23951.7,22754.11,23750.2,0.145,0.65,28.52,991415.42
2024-12-26,2025-01-02,23750.2,22562.69,24188.65,0.14,0.47,20.79,991436.21
2025-01-02,2025-01-09,24188.65,22979.22,23526.5,0.137,0.39,16.75,991452.96
2025-01-09,2025-01-16,23526.5,22350.17,23311.8,0.147,0.71,31.38,991484.33
2025-01-16,2025-01-23,23311.8,22146.21,23205.35,0.155,1.13,50.5,991534.84
2025-01-23,2025-01-30,23205.35,22045.08,23249.5,0.167,2.08,93.42,991628.26
2025-01-30,2025-02-06,23249.5,22087.02,23603.35,0.174,2.81,125.99,991754.25
2025-02-06,2025-02-13,23603.35,22423.18,23031.4,0.142,0.52,22.91,991777.16
2025-02-13,2025-02-20,23031.4,21879.83,22913.15,0.15,0.83,37.72,991814.88
2025-02-20,2025-02-27,22913.15,21767.49,22545.05,0.147,0.7,31.78,991846.67
2025-02-27,2025-03-06,22545.05,21417.8,22544.7,0.133,0.26,12.03,991858.69
2025-03-06,2025-03-13,22544.7,21417.46,22397.2,0.137,0.36,16.63,991875.32
2025-03-13,2025-03-20,22397.2,21277.34,23190.65,0.133,0.25,11.74,991887.06
2025-03-20,2025-03-27,23190.65,22031.12,23591.95,0.126,0.14,6.52,991893.58
2025-03-27,2025-04-03,23591.95,22412.35,23250.1,0.133,0.27,11.93,991905.51
2025-04-03,2025-04-11,23250.1,22087.59,22828.55,0.136,0.63,28.26,991933.77
2025-04-17,2025-04-24,23851.65,22659.07,24246.7,0.155,1.15,50.53,991984.3
2025-04-24,2025-05-02,24246.7,23034.36,24346.7,0.163,2.85,122.49,992106.78
2025-05-08,2025-05-15,24273.8,23060.11,25062.1,0.21,9.68,416.19,992522.97
2025-05-15,2025-05-22,25062.1,23808.99,24609.7,0.169,2.44,101.84,992624.81
