entry_date,exit_date,bars_held,entry,sl,r1,r2,exit,qty,exit_reason,gross_pnl,costs,net_pnl,pct_return,capital_after
2025-07-14,2025-07-17,3,25082.3,25053.34,25271.87,25393.88,25111.45,192.1053,TIME,5599.57,4821.24,778.33,0.1162,557163.89
2025-07-31,2025-08-01,1,24768.35,24759.12,24914.25,24973.45,24759.12,603.3981,SL,-5571.64,14942.39,-20514.03,-0.0373,536649.86
2025-08-05,2025-08-06,1,24649.55,24581.14,24788.0,24853.25,24581.14,78.4501,SL,-5366.5,1931.08,-7297.57,-0.2775,529352.28
2025-08-29,2025-09-02,2,24426.85,24396.36,24641.83,24782.77,24641.83,173.6311,R1,37327.96,4259.92,33068.04,0.8801,562420.32
2025-09-15,2025-09-16,1,25069.2,25029.83,25156.28,25198.57,25198.57,142.8551,R2,18480.58,3590.5,14890.07,0.516,577310.4
2025-09-23,2025-09-24,1,25169.5,25099.91,25305.68,25409.01,25099.91,82.9574,SL,-5773.1,2085.11,-7858.21,-0.2765,569452.18
2025-09-30,2025-10-01,1,24611.1,24539.07,24748.73,24862.57,24862.57,79.0572,R2,19880.41,1955.62,17924.78,1.0218,587376.97
2025-10-08,2025-10-09,1,25046.15,25024.38,25194.03,25279.77,25024.38,269.8651,SL,-5873.77,6756.14,-12629.91,-0.0869,574747.05
2025-10-13,2025-10-14,1,25227.35,25159.36,25358.45,25431.55,25159.36,84.5407,SL,-5747.47,2129.86,-7877.33,-0.2695,566869.72
2025-10-24,2025-10-29,3,25795.15,25775.37,26042.92,26194.43,26042.92,286.5165,R1,70989.12,7426.23,63562.89,0.9605,630432.61
2025-11-06,2025-11-07,1,25509.7,25496.05,25730.57,25863.48,25496.05,461.7293,SL,-6304.33,11775.42,-18079.75,-0.0535,612352.86
2025-11-21,2025-11-24,1,26068.15,26061.93,26271.47,26350.78,26061.93,984.153,SL,-6123.53,25651.99,-31775.51,-0.0239,580577.35
2025-11-25,2025-11-26,1,25884.8,25840.97,26097.48,26235.47,26097.48,132.4482,R1,28169.48,3442.48,24727.0,0.8217,605304.35
2025-12-01,2025-12-02,1,26175.75,26130.49,26265.0,26327.05,26130.49,133.7485,SL,-6053.04,3497.94,-9550.98,-0.1729,595753.36
2025-12-03,2025-12-04,1,25986.0,25942.53,26125.25,26218.3,25942.53,137.052,SL,-5957.53,3558.45,-9515.99,-0.1673,586237.37
2025-12-09,2025-12-10,1,25839.65,25816.46,26128.75,26296.95,25816.46,252.7767,SL,-5862.37,6528.73,-12391.1,-0.0898,573846.27
2025-12-17,2025-12-18,1,25818.55,25776.91,25949.12,26038.13,25776.91,137.8201,SL,-5738.46,3555.45,-9293.91,-0.1613,564552.36
2025-12-24,2025-12-26,1,26142.1,26093.5,26234.12,26291.08,26093.5,116.1582,SL,-5645.52,3033.8,-8679.32,-0.1859,555873.04
2026-01-05,2026-01-06,1,26250.3,26158.45,26406.23,26483.92,26158.45,60.5188,SL,-5558.73,1585.86,-7144.59,-0.3499,548728.46
2026-01-07,2026-01-08,1,26140.75,26084.87,26260.18,26341.67,26084.87,98.2013,SL,-5487.28,2564.31,-8051.6,-0.2138,540676.86
2026-01-14,2026-01-19,2,25665.6,25564.88,25886.97,26041.63,25564.88,53.6798,SL,-5406.77,1375.02,-6781.79,-0.3924,533895.07
2026-01-21,2026-01-23,2,25157.5,25049.16,25487.88,25743.27,25049.16,49.2791,SL,-5338.95,1237.07,-6576.02,-0.4307,527319.05
2026-01-30,2026-02-02,1,25320.65,25207.85,25531.43,25643.97,25207.85,46.7484,SL,-5273.19,1181.06,-6454.25,-0.4455,520864.8
2026-02-05,2026-02-06,1,25642.8,25594.83,25875.05,25974.1,25594.83,108.5768,SL,-5208.65,2781.61,-7990.26,-0.1871,512874.54
